10032026 10:11:12 [INF]  [Trace:f28891f7f1403c0bf646746edd409079] Get All Products
10032026 22:51:48 [INF]  [Trace:be56e4ca4829a5ad676b694eb2c51a07] product code: XXXXX-XXXDD-XXXXX-XXXXX-XXXXX-XXXXX
10032026 22:51:48 [INF]  [Trace:be56e4ca4829a5ad676b694eb2c51a07] 1 Rows Effected;
10032026 22:51:50 [INF]  [Trace:266be1ae36703aa5232421b37e59e7e4] Get All Products
10032026 22:51:50 [INF]  [Trace:13425a8bf95bdba0128177dd2acb8dca] Get All Products
10032026 22:51:50 [INF]  [Trace:266be1ae36703aa5232421b37e59e7e4] return 8 Products
10032026 22:51:50 [INF]  [Trace:13425a8bf95bdba0128177dd2acb8dca] return 8 Products
10032026 22:52:27 [INF]  [Trace:b0496012ec1fc3f2655d384c52070847] Get All Products
10032026 22:52:27 [INF]  [Trace:b0496012ec1fc3f2655d384c52070847] return 8 Products
10032026 22:52:29 [INF]  [Trace:3117d824188f169e60c55b06e617cfff] Delete Product
10032026 22:52:29 [INF]  [Trace:3117d824188f169e60c55b06e617cfff] product code: XXXXX-XXXXX-XXXXX-XXXXX-XXXXX-XXXXX
10032026 22:52:29 [INF]  [Trace:3117d824188f169e60c55b06e617cfff] 1 Rows Effected;
10032026 22:52:29 [INF]  [Trace:b33ced398e1dec67c16f8180f591fb3b] Get All Products
10032026 22:52:29 [INF]  [Trace:b33ced398e1dec67c16f8180f591fb3b] return 7 Products
10032026 22:52:29 [INF]  [Trace:2b18d4606b6689ce51f2d706e56057b5] Get All Products
10032026 22:52:29 [INF]  [Trace:2b18d4606b6689ce51f2d706e56057b5] return 7 Products
10032026 22:52:47 [INF]  [Trace:09bb33135a026754ad3f9819c95783dd] Get All Products
10032026 22:52:47 [INF]  [Trace:09bb33135a026754ad3f9819c95783dd] return 7 Products
10032026 22:52:47 [INF]  [Trace:746999bc1cf3c3c038eff836d60534b0] Get All Products
10032026 22:52:47 [INF]  [Trace:746999bc1cf3c3c038eff836d60534b0] return 7 Products
10032026 22:52:50 [INF]  [Trace:fd9fc8a10a2d1d4d7a6527761282e2c5] Get All Products
10032026 22:52:51 [INF]  [Trace:fd9fc8a10a2d1d4d7a6527761282e2c5] return 7 Products
10032026 22:52:51 [INF]  [Trace:91c1b47b8a68c86f7237836f41794360] Get All Products
10032026 22:52:51 [INF]  [Trace:91c1b47b8a68c86f7237836f41794360] return 7 Products
10032026 22:53:26 [INF]  [Trace:c6118be5f2ea590eba05e8360d03123f] Get All Products
10032026 22:53:26 [INF]  [Trace:e6867ec5599d677b252da78463aeb32e] Get All Products
10032026 22:53:26 [INF]  [Trace:c6118be5f2ea590eba05e8360d03123f] return 7 Products
10032026 22:53:26 [INF]  [Trace:e6867ec5599d677b252da78463aeb32e] return 7 Products
10032026 22:53:56 [INF]  [Trace:1a2a869835cff9d2259f4bde9786e5df] Get All Products
10032026 22:53:56 [INF]  [Trace:0cf41ba0f7921ef2f91370bfdd491890] Get All Products
10032026 22:53:57 [INF]  [Trace:0cf41ba0f7921ef2f91370bfdd491890] return 7 Products
10032026 22:53:57 [INF]  [Trace:1a2a869835cff9d2259f4bde9786e5df] return 7 Products
10032026 22:54:04 [INF]  [Trace:85b7467462236e381691beda74d1b7e3] Insert Product
10032026 22:54:04 [INF]  [Trace:85b7467462236e381691beda74d1b7e3] product code: XXXXX-XXXXX-XXXXX-XXXXX-XXXXX-XXXXX
10032026 22:54:04 [INF]  [Trace:85b7467462236e381691beda74d1b7e3] 1 Rows Effected;
10032026 22:54:06 [INF]  [Trace:3827c64c9d160f7231393badee4b0b33] Get All Products
10032026 22:54:06 [INF]  [Trace:3827c64c9d160f7231393badee4b0b33] return 8 Products
10032026 22:54:06 [INF]  [Trace:ac042bb905ad74689d8baa38d30af24c] Get All Products
10032026 22:54:06 [INF]  [Trace:ac042bb905ad74689d8baa38d30af24c] return 8 Products
10032026 22:54:16 [INF]  [Trace:847c4dad9caf735133f388333d502f29] Insert Product
10032026 22:54:16 [INF]  [Trace:847c4dad9caf735133f388333d502f29] product code: XXXXX-XXXXX-XXXXX-XXXXX-XXXXX-XXXXX
10032026 22:54:16 [WRN]  [Trace:847c4dad9caf735133f388333d502f29] Product Already Exists
10032026 22:55:03 [INF]  [Trace:f1ddd55e85bb29e6a9e14c3234fc51f5] Get All Products
10032026 22:55:03 [INF]  [Trace:f1ddd55e85bb29e6a9e14c3234fc51f5] return 8 Products
10032026 22:55:03 [INF]  [Trace:b80f0744dd431e5baa40cdf805eafc07] Get All Products
10032026 22:55:03 [INF]  [Trace:b80f0744dd431e5baa40cdf805eafc07] return 8 Products
10032026 22:55:34 [INF]  [Trace:575417c3b7ee9eef3cedeb2ba00591a4] Get All Products
10032026 22:55:34 [INF]  [Trace:575417c3b7ee9eef3cedeb2ba00591a4] return 8 Products
10032026 22:55:34 [INF]  [Trace:509466fdda1ba7777936c81fd955d569] Get All Products
10032026 22:55:34 [INF]  [Trace:509466fdda1ba7777936c81fd955d569] return 8 Products
10032026 22:56:14 [INF]  [Trace:1ea188af8e8444e57e2b4761d446d54f] Get All Products
10032026 22:56:14 [INF]  [Trace:1ea188af8e8444e57e2b4761d446d54f] return 8 Products
10032026 22:56:14 [INF]  [Trace:8cddf6364bc6cb21baa1ea9d7eb25b6f] Get All Products
10032026 22:56:14 [INF]  [Trace:8cddf6364bc6cb21baa1ea9d7eb25b6f] return 8 Products
10032026 22:56:31 [INF]  [Trace:c5a5527f793d4a8a6e0adf054fa32af0] Get All Products
10032026 22:56:31 [INF]  [Trace:c5a5527f793d4a8a6e0adf054fa32af0] return 8 Products
10032026 22:56:31 [INF]  [Trace:bc7cbc058009b46aa1b32fdd84e47cf7] Get All Products
10032026 22:56:31 [INF]  [Trace:bc7cbc058009b46aa1b32fdd84e47cf7] return 8 Products
10032026 22:56:47 [INF]  [Trace:72e990dab410da2643bc96a3e4f91f8d] Get All Products
10032026 22:56:47 [INF]  [Trace:72e990dab410da2643bc96a3e4f91f8d] return 8 Products
10032026 22:56:47 [INF]  [Trace:91b8335e8b0f83408dc1d2cca358ee09] Get All Products
10032026 22:56:48 [INF]  [Trace:91b8335e8b0f83408dc1d2cca358ee09] return 8 Products
10032026 22:56:54 [INF]  [Trace:01c8e414c5559b23f3db01b07a3817af] Get All Products
10032026 22:56:54 [INF]  [Trace:01c8e414c5559b23f3db01b07a3817af] return 8 Products
10032026 22:56:54 [INF]  [Trace:2bfe004079504b9cb41aa729745d7dd1] Get All Products
10032026 22:56:54 [INF]  [Trace:2bfe004079504b9cb41aa729745d7dd1] return 8 Products
10032026 22:57:03 [INF]  [Trace:daabd23734d3fcefd933400ae560dab0] Get All Products
10032026 22:57:03 [INF]  [Trace:daabd23734d3fcefd933400ae560dab0] return 8 Products
10032026 22:57:03 [INF]  [Trace:d0e8c432fe16668938e43c8bb8ab2400] Get All Products
10032026 22:57:03 [INF]  [Trace:d0e8c432fe16668938e43c8bb8ab2400] return 8 Products
10032026 22:57:06 [INF]  [Trace:1aa93bb1e05d5d3c12717fd8ab29a286] Get All Products
10032026 22:57:06 [INF]  [Trace:1aa93bb1e05d5d3c12717fd8ab29a286] return 8 Products
10032026 22:57:06 [INF]  [Trace:e4cfc5e2782a7d862ef7fbbb9532bbee] Get All Products
10032026 22:57:07 [INF]  [Trace:e4cfc5e2782a7d862ef7fbbb9532bbee] return 8 Products
10032026 22:59:42 [INF]  [Trace:fa12aa7cd6da0f5fe0cb8a86fdc7d81d] Get All Products
10032026 22:59:43 [INF]  [Trace:fa12aa7cd6da0f5fe0cb8a86fdc7d81d] return 8 Products
10032026 23:01:03 [INF]  [Trace:456e019ab61cf3402607363bb1e66dab] Get All Products
10032026 23:01:04 [ERR]  [Trace:456e019ab61cf3402607363bb1e66dab] Reading as 'System.Int32' is not supported for fields having DataTypeName 'text'
10032026 23:01:16 [INF]  [Trace:377fec710b55f3c932919682c35966d3] Get All Products
10032026 23:02:05 [INF]  [Trace:e06116c59a4aa261f347715e42cfd17c] Get All Products
10032026 23:02:11 [INF]  [Trace:e06116c59a4aa261f347715e42cfd17c] return 8 Products
10032026 23:03:18 [INF]  [Trace:6d47cc37765b0ba304543fa97f957e81] Get All Products
10032026 23:03:18 [INF]  [Trace:6d47cc37765b0ba304543fa97f957e81] return 8 Products
10032026 23:03:19 [INF]  [Trace:80cec3ddeeff291cb0859b77c27b245d] Get All Products
10032026 23:03:19 [INF]  [Trace:80cec3ddeeff291cb0859b77c27b245d] return 8 Products
10032026 23:03:31 [INF]  [Trace:7ed7e465fb23c9d792a45b84399ee424] Get All Products
10032026 23:03:31 [INF]  [Trace:7ed7e465fb23c9d792a45b84399ee424] return 8 Products
10032026 23:03:51 [INF]  [Trace:1e45368f6f7df27998c03154aa8cd405] Get All Products
10032026 23:03:51 [INF]  [Trace:1e45368f6f7df27998c03154aa8cd405] return 8 Products
10032026 23:03:54 [INF]  [Trace:bd3a8775285ebba0879035c36c10aec2] Get All Products
10032026 23:03:54 [INF]  [Trace:bd3a8775285ebba0879035c36c10aec2] return 8 Products
10032026 23:03:57 [INF]  [Trace:2d5f300b7098b28837976cbf8e9d88a3] Delete Product
10032026 23:03:57 [INF]  [Trace:2d5f300b7098b28837976cbf8e9d88a3] product code: ASDFF-ASDAS-ASG1D-PKQWE-JASKN-PPPPP
10032026 23:03:57 [INF]  [Trace:2d5f300b7098b28837976cbf8e9d88a3] 1 Rows Effected;
10032026 23:03:58 [INF]  [Trace:61f193fb3d324133c3e7c0eb7fedf03e] Get All Products
10032026 23:03:58 [INF]  [Trace:61f193fb3d324133c3e7c0eb7fedf03e] return 7 Products
10032026 23:03:58 [INF]  [Trace:d36d74542c61f211f419f7af475f3caf] Get All Products
10032026 23:03:58 [INF]  [Trace:d36d74542c61f211f419f7af475f3caf] return 7 Products
